timestamp,frame,target_id,range_m,angle_deg,radial_velocity_mps,rcs_dbsm,is_static,target_class,track_quality,age,is_clutter,is_multipath
1752719982.191,0,0,14.88,-20.22,-0.01,11.4,True,static_object,1.0,1,False,False
1752719982.191,0,1,29.87,10.08,0.05,16.64,True,static_object,1.0,1,False,False
1752719982.191,0,2,49.98,0.01,0.0,24.28,True,static_object,1.0,1,False,False
1752719982.191,0,4,39.26,-9.9,-8.07,14.5,False,vehicle,1.0,1,False,False
1752719982.191,0,5,60.58,4.91,5.19,4.71,False,bicycle,1.0,1,False,False
1752719982.191,0,clutter_0_0,9.19,-47.36,0.0,-10.15,True,clutter,0.1,0,True,False
1752719982.291,1,0,15.0,-20.09,-0.01,11.26,True,static_object,1.0,2,False,False
1752719982.291,1,2,49.84,0.03,-0.02,24.56,True,static_object,1.0,2,False,False
1752719982.291,1,5,61.04,5.04,5.0,4.06,False,bicycle,1.0,2,False,False
1752719982.291,1,multipath_1_0,70.62,3.92,0.0,-0.66,True,multipath,0.3,0,False,True
1752719982.391,2,1,29.92,10.12,-0.03,18.35,True,static_object,1.0,3,False,False
1752719982.391,2,4,37.56,-10.08,-8.15,15.5,False,vehicle,1.0,3,False,False
1752719982.491,3,1,29.97,10.06,0.01,18.42,True,static_object,1.0,4,False,False
1752719982.491,3,2,50.13,0.07,-0.1,25.12,True,static_object,1.0,4,False,False
1752719982.591,4,2,49.96,-0.02,-0.01,24.18,True,static_object,1.0,5,False,False
1752719982.591,4,3,80.07,7.98,-0.09,8.85,True,static_object,1.0,5,False,False
1752719982.591,4,5,62.23,5.13,4.59,4.92,False,bicycle,1.0,5,False,False
1752719982.691,5,0,15.02,-20.01,-0.03,12.72,True,static_object,1.0,6,False,False
1752719982.691,5,2,49.95,-0.12,-0.04,25.56,True,static_object,1.0,6,False,False
1752719982.691,5,4,34.95,-9.9,-8.72,14.43,False,vehicle,1.0,6,False,False
1752719982.691,5,clutter_5_0,2.59,-25.62,0.0,-14.81,True,clutter,0.1,0,True,False
1752719982.791,6,1,29.9,10.04,0.12,18.24,True,static_object,1.0,7,False,False
1752719982.791,6,2,49.89,-0.06,0.02,23.61,True,static_object,1.0,7,False,False
1752719982.791,6,3,79.89,7.82,0.01,8.09,True,static_object,1.0,7,False,False
1752719982.791,6,4,34.18,-9.77,-8.79,14.81,False,vehicle,1.0,7,False,False
1752719982.791,6,5,63.46,4.99,4.54,5.31,False,bicycle,1.0,7,False,False
1752719982.791,6,multipath_6_0,46.45,-6.47,0.0,7.69,True,multipath,0.3,0,False,True
1752719982.891,7,0,15.04,-20.25,-0.03,12.25,True,static_object,1.0,8,False,False
1752719982.891,7,3,79.93,8.1,0.06,8.11,True,static_object,1.0,8,False,False
1752719982.891,7,4,33.38,-9.78,-8.71,14.95,False,vehicle,1.0,8,False,False
1752719982.891,7,5,63.83,5.09,4.8,5.27,False,bicycle,1.0,8,False,False
1752719982.991,8,0,15.0,-19.98,0.1,11.6,True,static_object,1.0,9,False,False
1752719982.991,8,2,50.12,0.01,-0.17,24.23,True,static_object,1.0,9,False,False
1752719982.991,8,3,80.13,8.24,0.09,7.54,True,static_object,1.0,9,False,False
1752719982.991,8,4,32.51,-9.9,-9.09,14.83,False,vehicle,1.0,9,False,False
1752719982.991,8,clutter_8_1,9.71,13.32,0.0,-5.64,True,clutter,0.1,0,True,False
1752719983.091,9,1,30.03,10.12,-0.13,17.54,True,static_object,1.0,10,False,False
1752719983.091,9,2,50.07,-0.15,0.09,25.53,True,static_object,1.0,10,False,False
1752719983.091,9,3,79.95,7.96,-0.19,7.93,True,static_object,1.0,10,False,False
1752719983.091,9,4,31.54,-9.86,-9.0,15.38,False,vehicle,1.0,10,False,False
1752719983.091,9,multipath_9_0,74.57,9.15,0.0,-0.99,True,multipath,0.3,0,False,True
1752719983.191,10,2,50.2,0.08,0.09,24.72,True,static_object,1.0,11,False,False
1752719983.191,10,5,65.41,4.98,4.58,3.87,False,bicycle,1.0,11,False,False
1752719983.291,11,0,14.97,-20.16,0.11,11.24,True,static_object,1.0,12,False,False
1752719983.291,11,2,49.98,0.06,0.01,24.53,True,static_object,1.0,12,False,False
1752719983.291,11,multipath_11_0,35.52,-11.39,0.0,8.63,True,multipath,0.3,0,False,True
1752719983.391,12,1,29.96,10.14,0.06,18.76,True,static_object,1.0,13,False,False
1752719983.391,12,2,50.02,-0.0,0.11,24.95,True,static_object,1.0,13,False,False
1752719983.391,12,3,80.18,8.06,-0.1,8.85,True,static_object,1.0,13,False,False
1752719983.391,12,4,28.8,-9.79,-8.97,14.16,False,vehicle,1.0,13,False,False
1752719983.391,12,5,66.23,5.23,4.58,4.75,False,bicycle,1.0,13,False,False
1752719983.391,12,multipath_12_0,35.97,-9.68,0.0,5.24,True,multipath,0.3,0,False,True
1752719983.491,13,2,50.13,-0.05,0.05,24.86,True,static_object,1.0,14,False,False
1752719983.491,13,4,27.88,-9.84,-8.82,15.11,False,vehicle,1.0,14,False,False
1752719983.491,13,5,66.71,5.31,4.55,4.67,False,bicycle,1.0,14,False,False
1752719983.491,13,clutter_13_1,3.24,-15.42,0.0,-8.18,True,clutter,0.1,0,True,False
1752719983.591,14,0,15.02,-19.98,0.13,11.82,True,static_object,1.0,15,False,False
1752719983.591,14,2,49.83,0.04,0.03,25.25,True,static_object,1.0,15,False,False
1752719983.591,14,clutter_14_1,6.57,-21.34,0.0,-8.96,True,clutter,0.1,0,True,False
1752719983.691,15,2,50.0,-0.01,0.16,24.38,True,static_object,1.0,16,False,False
